;AphiaID;accid;class;order;family;genus;subgenus;species;subspecies;ScientificName;taxonomicStatus;taxonRank;type;authorship;source;valid_AphiaID
4190;442807;NA;Malacostraca;Decapoda;Portunidae;Portunus;;mokyevskii;NA;Portunus mokyevskii;superseded combination;Species;synonym;Zarenkov, 1970;WORMS;1061753
4191;452152;NA;Malacostraca;Decapoda;Cancridae;Cancer;NA;cedonulli;NA;Cancer cedonulli;junior subjective synonym;Species;synonym;Herbst, 1794;WORMS;1061754
4192;452318;NA;Malacostraca;Decapoda;Cancridae;Cancer;NA;pelagicus;NA;Cancer pelagicus;superseded combination;Species;synonym;Linnaeus, 1758;WORMS;1061754
4193;452317;NA;Malacostraca;Decapoda;Cancridae;Cancer;NA;pelagicus;NA;Cancer pelagicus;junior homonym;Species;synonym;Forskål, 1775;WORMS;1061754
4194;210293;NA;Malacostraca;Decapoda;Portunidae;Lupa;NA;pelagica;NA;Lupa pelagica;superseded combination;Species;synonym;(Linnaeus, 1758);WORMS;1061754
4195;874149;NA;Malacostraca;Decapoda;Portunidae;Neptunus;NA;pelagicus;NA;Neptunus pelagicus;superseded combination;Species;synonym;(Linnaeus, 1758);WORMS;1061754
4196;107404;NA;Malacostraca;Decapoda;Portunidae;Portunus;;pelagicus;NA;Portunus pelagicus;superseded combination;Species;synonym;(Linnaeus, 1758);WORMS;1061754
4197;459228;NA;Malacostraca;Decapoda;Portunidae;Portunus;;pelagicus;var. sinensis;Portunus pelagicus var. sinensis;junior subjective synonym;Variety;synonym;Shen, 1932;WORMS;1061754
4198;454881;NA;Malacostraca;Decapoda;Portunidae;Portunus;NA;denticulatus;NA;Portunus denticulatus;junior subjective synonym;Species;synonym;Marion de Procé, 1822;WORMS;1061754
4199;453820;NA;Malacostraca;Decapoda;Portunidae;Lupa;NA;pubescens;NA;Lupa pubescens;unaccepted;Species;synonym;Dana, 1852;WORMS;1061755
4200;454140;NA;Malacostraca;Decapoda;Portunidae;Neptunus;NA;tomentosus;NA;Neptunus tomentosus;junior subjective synonym;Species;synonym;Haswell, 1881;WORMS;1061755
4201;208813;NA;Malacostraca;Decapoda;Portunidae;Portunus;;pubescens;NA;Portunus pubescens;unaccepted;Species;synonym;(Dana, 1852);WORMS;1061755
4202;452355;NA;Malacostraca;Decapoda;Cancridae;Cancer;NA;reticulatus;NA;Cancer reticulatus;superseded combination;Species;synonym;Herbst, 1799;WORMS;1061756
4203;442808;NA;Malacostraca;Decapoda;Portunidae;Portunus;;reticulatus;NA;Portunus reticulatus;superseded combination;Species;synonym;(Herbst, 1799);WORMS;1061756
4204;442809;NA;Malacostraca;Decapoda;Portunidae;Portunus;;rufiarcus;NA;Portunus rufiarcus;superseded combination;Species;synonym;Davie, 1987;WORMS;1061757
4205;452067;NA;Malacostraca;Decapoda;Portunidae;Callinectes;NA;alexandri;NA;Callinectes alexandri;junior subjective synonym;Species;synonym;Rathbun, 1907;WORMS;1061758
4206;452216;NA;Malacostraca;Decapoda;Cancridae;Cancer;NA;gladiator;NA;Cancer gladiator;unaccepted;Species;synonym;Fabricius, 1793;WORMS;1061758
4207;880764;NA;Malacostraca;Decapoda;Cancridae;Cancer;NA;raihoae;NA;Cancer raihoae;unaccepted;Species;synonym;Curtiss, 1938;WORMS;1061758
4208;452366;NA;Malacostraca;Decapoda;Cancridae;Cancer;NA;sanguinolentus;NA;Cancer sanguinolentus;superseded combination;Species;synonym;Herbst, 1783;WORMS;1061758
4209;210292;NA;Malacostraca;Decapoda;Portunidae;Lupa;NA;sanguinolentus;NA;Lupa sanguinolentus;superseded combination;Species;synonym;(Herbst, 1783);WORMS;1061758
4210;208794;NA;Malacostraca;Decapoda;Portunidae;Portunus;;sanguinolentus;NA;Portunus sanguinolentus;superseded combination;Species;synonym;(Herbst, 1783);WORMS;1061758
4211;442812;NA;Malacostraca;Decapoda;Portunidae;Portunus;;sanguinolentus;sanguinolentus;Portunus sanguinolentus sanguinolentus;superseded combination;Subspecies;synonym;(Herbst, 1783);WORMS;1061758
4212;1061773;NA;Malacostraca;Decapoda;Portunidae;Portunus;NA;sanguinolentus;sanguinolentus;Portunus sanguinolentus sanguinolentus;superseded combination;Subspecies;synonym;(Herbst, 1783);WORMS;1061758
4213;453821;NA;Malacostraca;Decapoda;Portunidae;Lupa;NA;sayi;NA;Lupa sayi;superseded combination;Species;synonym;Gibbes, 1850;WORMS;1061759
4214;453819;NA;Malacostraca;Decapoda;Portunidae;Lupea;NA;parvula;NA;Lupea parvula;junior subjective synonym;Species;synonym;Desbonne in Desbonne & Schramm, 1867;WORMS;1061759
4215;453827;NA;Malacostraca;Decapoda;Portunidae;Lupea;NA;pudica;NA;Lupea pudica;junior subjective synonym;Species;synonym;Gerstaecker, 1856;WORMS;1061759
4216;107405;NA;Malacostraca;Decapoda;Portunidae;Portunus;;sayi;NA;Portunus sayi;superseded combination;Species;synonym;(Gibbes, 1850);WORMS;1061759
4217;454916;NA;Malacostraca;Decapoda;Portunidae;Portunus;NA;tropicalis;NA;Portunus tropicalis;unaccepted;Species;synonym;Marion de Procé, 1822;WORMS;1061759
4218;452378;NA;Malacostraca;Decapoda;Cancridae;Cancer;NA;segnis;NA;Cancer segnis;superseded combination;Species;synonym;Forskål, 1775;WORMS;1061760
4219;442805;NA;Malacostraca;Decapoda;Portunidae;Portunus;;mauricianus;NA;Portunus mauricianus;misspelling;Species;synonym;Ward, 1942;WORMS;1061760
4220;442813;NA;Malacostraca;Decapoda;Portunidae;Portunus;;segnis;NA;Portunus segnis;superseded combination;Species;synonym;(Forskål, 1775);WORMS;1061760
4221;454899;NA;Malacostraca;Decapoda;Portunidae;Portunus;NA;mauritianus;NA;Portunus mauritianus;junior subjective synonym;Species;synonym;Ward, 1942;WORMS;1061760
4222;454137;NA;Malacostraca;Decapoda;Portunidae;Neptunus;NA;serratifrons;NA;Neptunus serratifrons;superseded combination;Species;synonym;Montrouzier, 1865;WORMS;1061761
4223;442814;NA;Malacostraca;Decapoda;Portunidae;Portunus;;serratifrons;NA;Portunus serratifrons;superseded combination;Species;synonym;(Montrouzier, 1865);WORMS;1061761
4224;454141;NA;Malacostraca;Decapoda;Portunidae;Neptunus;NA;trituberculatus;NA;Neptunus trituberculatus;superseded combination;Species;synonym;Miers, 1876;WORMS;1061762
4225;208796;NA;Malacostraca;Decapoda;Portunidae;Portunus;;trituberculatus;NA;Portunus trituberculatus;superseded combination;Species;synonym;(Miers, 1876);WORMS;1061762
4226;454143;NA;Malacostraca;Decapoda;Portunidae;Neptunus;NA;ventralis;NA;Neptunus ventralis;superseded combination;Species;synonym;A. Milne-Edwards, 1879;WORMS;1061763
4227;422048;NA;Malacostraca;Decapoda;Portunidae;Portunus;;ventralis;NA;Portunus ventralis;superseded combination;Species;synonym;(A. Milne-Edwards, 1879);WORMS;1061763
4228;454866;NA;Malacostraca;Decapoda;Portunidae;Portunus;;validus;NA;Portunus validus;superseded combination;Species;synonym;Herklots, 1851;WORMS;442830
4229;241115;NA;Malacostraca;Decapoda;Portunidae;Portunus;NA;validus;NA;Portunus validus;superseded combination;Species;synonym;Herklots, 1851;WORMS;442830
4230;452308;NA;Malacostraca;Decapoda;Cancridae;Cancer;NA;olivacea;NA;Cancer olivacea;superseded combination;Species;synonym;Herbst, 1796 [in Herbst, 1791-1796];WORMS;442831
4231;1470619;NA;Malacostraca;Decapoda;Portunidae;Scylla;NA;serrata;var. paramamosain;Scylla serrata var. paramamosain;superseded combination;Variety;synonym;Estampador, 1950;WORMS;442832
4232;451837;NA;Malacostraca;Decapoda;Portunidae;Achelous;NA;crassimanus;NA;Achelous crassimanus;junior subjective synonym;Species;synonym;MacLeay, 1838;WORMS;208814
4233;452383;NA;Malacostraca;Decapoda;Cancridae;Cancer;NA;serratus;NA;Cancer serratus;superseded combination;Species;synonym;Forskål, 1775;WORMS;208814
