;AphiaID;accid;class;order;family;genus;subgenus;species;subspecies;ScientificName;taxonomicStatus;taxonRank;type;authorship;source;valid_AphiaID
4555;444649;NA;Malacostraca;Decapoda;Grapsidae;Grapsus;NA;huzardi;NA;Grapsus huzardi;unaccepted;Species;synonym;Desmarest, 1825;WORMS;1061898
4556;871465;NA;Malacostraca;Decapoda;Sesarmidae;Perisesarma;NA;huzardi;NA;Perisesarma huzardi;unaccepted;Species;synonym;(Desmarest, 1825);WORMS;1061898
4557;241210;NA;Malacostraca;Decapoda;Sesarmidae;Sesarma;;huzardi;NA;Sesarma huzardi;unaccepted;Species;synonym;(Desmarest, 1825);WORMS;1061898
4558;455474;NA;Malacostraca;Decapoda;Sesarmidae;Sesarma;NA;africana;NA;Sesarma africana;unaccepted;Species;synonym;H. Milne Edwards, 1837;WORMS;1061898
4559;444651;NA;Malacostraca;Decapoda;Sesarmidae;Perisesarma;NA;kamermani;NA;Perisesarma kamermani;unaccepted;Species;synonym;(de Man, 1883);WORMS;1061899
4560;241211;NA;Malacostraca;Decapoda;Sesarmidae;Sesarma;;kamermani;NA;Sesarma kamermani;unaccepted;Species;synonym;(de Man, 1883);WORMS;1061899
4561;455419;NA;Malacostraca;Decapoda;Sesarmidae;Sesarma;NA;Kamermani;NA;Sesarma Kamermani;unaccepted;Species;synonym;de Man, 1883;WORMS;1061899
4562;395467;NA;Malacostraca;Decapoda;Sesarmidae;Sesarmoides;NA;boholano;NA;Sesarmoides boholano;unaccepted;Species;synonym;P.K.L. Ng, 2002;WORMS;444569
4563;1389618;NA;Malacostraca;Decapoda;Sesarmidae;Sesarma;;cerberus;NA;Sesarma cerberus;unaccepted;Species;synonym;Holthuis, 1964;WORMS;444570
4564;455494;NA;Malacostraca;Decapoda;Sesarmidae;Sesarma;NA;cerberus;NA;Sesarma cerberus;unaccepted;Species;synonym;Holthuis, 1964;WORMS;444570
4565;395468;NA;Malacostraca;Decapoda;Sesarmidae;Sesarmoides;NA;guamensis;NA;Sesarmoides guamensis;unaccepted;Species;synonym;P.K.L. Ng, 2002;WORMS;444572
4566;455525;NA;Malacostraca;Decapoda;Sesarmidae;Sesarma;;jacksoni;NA;Sesarma jacksoni;unaccepted;Species;synonym;Balss, 1934;WORMS;444573
4567;455526;NA;Malacostraca;Decapoda;Sesarmidae;Sesarma;NA;jacobsoni;NA;Sesarma jacobsoni;unaccepted;Species;synonym;Ihle, 1912;WORMS;444574
4568;395469;NA;Malacostraca;Decapoda;Sesarmidae;Sesarmoides;NA;loyalty;NA;Sesarmoides loyalty;unaccepted;Species;synonym;P.K.L. Ng, 2002;WORMS;444575
4569;455585;NA;Malacostraca;Decapoda;Sesarmidae;Sesarmoides;NA;microphthalmus;NA;Sesarmoides microphthalmus;unaccepted;Species;synonym;Naruse & P.K.L. Ng, 2007;WORMS;444576
4570;455586;NA;Malacostraca;Decapoda;Sesarmidae;Sesarmoides;NA;novabritannia;NA;Sesarmoides novabritannia;unaccepted;Species;synonym;P.K.L. Ng, 1988;WORMS;444577
4571;395470;NA;Malacostraca;Decapoda;Sesarmidae;Sesarmoides;NA;sulu;NA;Sesarmoides sulu;unaccepted;Species;synonym;P.K.L. Ng, 2002;WORMS;444578
4572;455587;NA;Malacostraca;Decapoda;Sesarmidae;Sesarmoides;NA;ultrapes;NA;Sesarmoides ultrapes;unaccepted;Species;synonym;P.K.L. Ng, Guinot & Iliffe, 1994;WORMS;444579
4573;455556;NA;Malacostraca;Decapoda;Sesarmidae;Sesarma;NA;polita;NA;Sesarma polita;unaccepted;Species;synonym;de Man, 1888;WORMS;444585
4574;1396108;NA;Malacostraca;Decapoda;Sesarmidae;Parasesarma;NA;aurifrons;NA;Parasesarma aurifrons;unaccepted;Species;synonym;J.-J. Li, H.-T. Shih & P.K.L. Ng, 2019;WORMS;1472902
4575;1339725;NA;Malacostraca;Decapoda;Sesarmidae;Parasesarma;NA;gazi;NA;Parasesarma gazi;unaccepted;Species;synonym;Cannici, Innocenti & Fratini in Cannicci, Schubart, Innocenti, Dahdouh-Guebas, Shahdadi & Fratini, 2017;WORMS;1472905
4576;1298784;NA;Malacostraca;Decapoda;Sesarmidae;Parasesarma;NA;gecko;NA;Parasesarma gecko;unaccepted;Species;synonym;J.-J. Li, Rahayu & P.K.L. Ng, 2018;WORMS;1472906
4577;1298788;NA;Malacostraca;Decapoda;Sesarmidae;Parasesarma;NA;gracilipes;NA;Parasesarma gracilipes;unaccepted;Species;synonym;J.-J. Li, Rahayu & P.K.L. Ng, 2018;WORMS;1472908
4578;444625;NA;Malacostraca;Decapoda;Sesarmidae;Parasesarma;NA;jamelense;NA;Parasesarma jamelense;unaccepted;Species;synonym;(Rathbun, 1914);WORMS;1472909
4579;455449;NA;Malacostraca;Decapoda;Sesarmidae;Sesarma;;moluccense;jamelense;Sesarma moluccense jamelense;unaccepted;Subspecies;synonym;Rathbun, 1914;WORMS;1472909
4580;1298786;NA;Malacostraca;Decapoda;Sesarmidae;Parasesarma;NA;kui;NA;Parasesarma kui;unaccepted;Species;synonym;J.-J. Li, Rahayu & P.K.L. Ng, 2018;WORMS;1472910
4581;444627;NA;Malacostraca;Decapoda;Sesarmidae;Parasesarma;NA;lenzii;NA;Parasesarma lenzii;unaccepted;Species;synonym;(de Man, 1895);WORMS;1472918
4582;455451;NA;Malacostraca;Decapoda;Sesarmidae;Sesarma;;lenzii;NA;Sesarma lenzii;unaccepted;Species;synonym;de Man, 1895;WORMS;1472918
4583;209169;NA;Malacostraca;Decapoda;Sesarmidae;Sesarma;NA;lenzii;NA;Sesarma lenzii;unaccepted;Species;synonym;de Man, 1895;WORMS;1472918
4584;444629;NA;Malacostraca;Decapoda;Sesarmidae;Parasesarma;NA;leptosoma;NA;Parasesarma leptosoma;unaccepted;Species;synonym;(Hilgendorf, 1869);WORMS;1472919
