"AphiaID","accid","class","order","family","genus","subgenus","species","subspecies","canonical","taxonomicStatus","taxonRank","type","authorship","source","valid_AphiaID","id"
"452372",8037,"Malacostraca","Decapoda","Cancridae","Cancer",NA,"scopolinus",NA,"Cancer scopolinus","unaccepted","Species","synonym","Herbst, 1783","WORMS","107473",717
"148509",3784,"Malacostraca","Decapoda","Cancridae","Cancer",NA,"scorpio",NA,"Cancer scorpio","junior subjective synonym","Species","synonym","JC Fabricius, 1779","WORMS","107327",718
"452373",43,"Malacostraca","Decapoda","Cancridae","Cancer",NA,"scruposa",NA,"Cancer scruposa","unaccepted","Species","synonym","Linnaeus, 1764","WORMS","440254",719
"452374",10852,"Malacostraca","Decapoda","Cancridae","Cancer",NA,"sculptus",NA,"Cancer sculptus","unaccepted","Species","synonym","H. Milne Edwards, 1834","WORMS","209005",720
"452375",11551,"Malacostraca","Decapoda","Cancridae","Cancer",NA,"sculptus",NA,"Cancer sculptus","unaccepted","Species","synonym","Herbst, 1794 [in Herbst, 1791-1796]","WORMS","444395",721
"452376",9909,"Malacostraca","Decapoda","Cancridae","Cancer",NA,"scutellata",NA,"Cancer scutellata","superseded combination","Species","synonym","JC Fabricius, 1793","WORMS","107281",722
"452377",2556,"Malacostraca","Decapoda","Cancridae","Cancer",NA,"sebana",NA,"Cancer sebana","unaccepted","Species","synonym","Shaw & Nodder, 1803","WORMS","207602",723
"452378",8873,"Malacostraca","Decapoda","Cancridae","Cancer",NA,"segnis",NA,"Cancer segnis","unaccepted","Species","synonym","Forskål, 1775","WORMS","1061760",724
"452379",7540,"Malacostraca","Decapoda","Cancridae","Cancer",NA,"semicylindrus",NA,"Cancer semicylindrus","unaccepted","Species","synonym","Fabricius, 1798","WORMS","442687",725
"148452",110,"Malacostraca","Decapoda","Cancridae","Cancer","","septemdatus",NA,"Cancer septemdatus","unaccepted","Species","synonym","Montagu, 1813","WORMS","107273",726
"452099",110,"Malacostraca","Decapoda","Cancridae","Cancer","","septemdentatus",NA,"Cancer septemdentatus","unaccepted","Species","synonym","Montagu, 1813","WORMS","107273",727
"452382",4082,"Malacostraca","Decapoda","Cancridae","Cancer",NA,"septemspinosus",NA,"Cancer septemspinosus","unaccepted","Species","synonym","J.C. Fabricius, 1787","WORMS","209526",728
"452383",8932,"Malacostraca","Decapoda","Cancridae","Cancer",NA,"serratus",NA,"Cancer serratus","unaccepted","Species","synonym","Forskål, 1775","WORMS","208814",729
"452384",4010,"Malacostraca","Decapoda","Cancridae","Cancer",NA,"seticornis",NA,"Cancer seticornis","superseded combination","Species","synonym","Herbst, 1788 [in Herbst, 1782-1790]","WORMS","421957",730
"452104",6957,"Malacostraca","Decapoda","Cancridae","Cancer","","setifer",NA,"Cancer setifer","unaccepted","Species","synonym","De Haan, 1835 [in De Haan, 1833-1850]","WORMS","210170",731
"451721",823,"Malacostraca","Decapoda","Cancridae","Cancer",NA,"setosus",NA,"Cancer setosus","superseded combination","Species","synonym","Molina, 1782","WORMS","877869",732
"452385",10251,"Malacostraca","Decapoda","Cancridae","Cancer",NA,"setosus",NA,"Cancer setosus","unaccepted","Species","synonym","JC Fabricius, 1798","WORMS","444799",733
"452386",8424,"Malacostraca","Decapoda","Cancridae","Cancer",NA,"sexdentatus",NA,"Cancer sexdentatus","unaccepted","Species","synonym","Herbst, 1783 [in Herbst, 1782-1790]","WORMS","208822",734
"452387",3215,"Malacostraca","Decapoda","Cancridae","Cancer",NA,"sexpes",NA,"Cancer sexpes","unaccepted","Species","synonym","Fabricius, 1798","WORMS","367192",735
"882051",10282,"Malacostraca","Decapoda","Cancridae","Cancer",NA,"simmonsi",NA,"Cancer simmonsi","unaccepted","Species","synonym","Curtiss, 1938","WORMS","207551",736
"452388",6189,"Malacostraca","Decapoda","Cancridae","Cancer",NA,"sinica",NA,"Cancer sinica","superseded combination","Species","synonym","Linnaeus, 1771","WORMS","442172",737
"452389",11322,"Malacostraca","Decapoda","Cancridae","Cancer",NA,"spectabilis",NA,"Cancer spectabilis","unaccepted","Species","synonym","Herbst, 1794 [in Herbst, 1791-1796]","WORMS","422143",738
"452390",2566,"Malacostraca","Decapoda","Cancridae","Cancer",NA,"spinifrons",NA,"Cancer spinifrons","junior subjective synonym","Species","synonym","Herbst, 1785 [in Herbst, 1782-1790]","WORMS","107409",739
"452391",10720,"Malacostraca","Decapoda","Cancridae","Cancer",NA,"spinimanum",NA,"Cancer spinimanum","unaccepted","Species","synonym","H. Milne Edwards, 1834","WORMS","444129",740
"878749",5497,"Malacostraca","Decapoda","Cancridae","Cancer",NA,"spinipes",NA,"Cancer spinipes","junior subjective synonym","Species","synonym","Herbst, 1790 [in Herbst, 1782-1790]","WORMS","1258708",741
"452105",6961,"Malacostraca","Decapoda","Cancridae","Cancer","","squamosus",NA,"Cancer squamosus","unaccepted","Species","synonym","De Haan, 1835 [in De Haan, 1833-1850]","WORMS","442412",742
"452392",8180,"Malacostraca","Decapoda","Cancridae","Cancer",NA,"squamosus",NA,"Cancer squamosus","superseded combination","Species","synonym","Herbst, 1790 [in Herbst, 1782-1790]","WORMS","395028",743
"452393",5199,"Malacostraca","Decapoda","Cancridae","Cancer",NA,"squinado",NA,"Cancer squinado","superseded combination","Species","synonym","Herbst, 1788 [in Herbst, 1782-1790]","WORMS","107350",744
"459348",3038,"Malacostraca","Decapoda","Cancridae","Cancer",NA,"strigosus",NA,"Cancer strigosus","unaccepted","Species","synonym","Herbst, 1799 [in Herbst, 1799-1804]","WORMS","207523",745
"452394",2529,"Malacostraca","Decapoda","Cancridae","Cancer",NA,"styx",NA,"Cancer styx","superseded combination","Species","synonym","Herbst, 1803 [in Herbst, 1799-1804]","WORMS","207605",746
