Family,Genus,Subgenus,ScientificName,Species,SubSpecies,taxonRank_gbif,taxonomicStatus_gbif,taxonRank_corr,AphiaID,Match type,Qualitystatus,Taxon status,ScientificName,Authority,AphiaID_accepted,ScientificName_accepted,Authority_accepted,Kingdom,Phylum,Class,Order,Family,Genus,Subgenus,Species,Subspecies,isMarine,isBrackish,isFresh,isTerrestrial,valid_AphiaID,reason_excluded,reason_included,match,comments,link
"""Gecarcinucidae""","""Parathelphusa""",NA,"""Parathelphusa valida""","""valida""",NA,"""SPECIES""","""ACCEPTED""","""SPECIES""",440742,exact,Checked by Taxonomic Editor,accepted,Parathelphusa valida,"P.K.L. Ng & Goh, 1987",440742,Parathelphusa valida,"P.K.L. Ng & Goh, 1987",Animalia,Arthropoda,Malacostraca,Decapoda,Gecarcinucidae,Parathelphusa,,valida,,0,0,1,0,,not marine,,fuzzyWORMS,,
"""Gecarcinucidae""","""Somanniathelphusa""",NA,"""Somanniathelphusa zanklon""","""zanklon""",NA,"""SPECIES""","""ACCEPTED""","""SPECIES""",440823,exact,Checked by Taxonomic Editor,accepted,Somanniathelphusa zanklon,"P.K.L. Ng & Dudgeon, 1992",440823,Somanniathelphusa zanklon,"P.K.L. Ng & Dudgeon, 1992",Animalia,Arthropoda,Malacostraca,Decapoda,Gecarcinucidae,Somanniathelphusa,,zanklon,,0,0,1,0,,not marine,,fuzzyWORMS,,
"""Gecarcinucidae""","""Ghatiana""",NA,"""Ghatiana splendida""","""splendida""",NA,"""SPECIES""","""ACCEPTED""","""SPECIES""",1262194,exact,Checked by Taxonomic Editor,accepted,Ghatiana splendida,"Pati, Thackeray & Khaire, 2016",1262194,Ghatiana splendida,"Pati, Thackeray & Khaire, 2016",Animalia,Arthropoda,Malacostraca,Decapoda,Gecarcinucidae,Ghatiana,,splendida,,0,0,1,0,,not marine,,fuzzyWORMS,,
"""Gecarcinucidae""","""Sayamia""",NA,"""Sayamia germaini""","""germaini""",NA,"""SPECIES""","""ACCEPTED""","""SPECIES""",440777,exact,Checked by Taxonomic Editor,accepted,Sayamia germaini,"(Rathbun, 1902)",440777,Sayamia germaini,"(Rathbun, 1902)",Animalia,Arthropoda,Malacostraca,Decapoda,Gecarcinucidae,Sayamia,,germaini,,0,0,1,0,,not marine,,fuzzyWORMS,,
"""Gecarcinucidae""","""Barytelphusa""",NA,"""Barytelphusa cunicularis""","""cunicularis""",NA,"""SPECIES""","""ACCEPTED""","""SPECIES""",440532,exact,Checked by Taxonomic Editor,accepted,Barytelphusa cunicularis,"(Westwood in Sykes, 1836)",440532,Barytelphusa cunicularis,"(Westwood in Sykes, 1836)",Animalia,Arthropoda,Malacostraca,Decapoda,Gecarcinucidae,Barytelphusa,,cunicularis,,0,0,1,0,,not marine,,fuzzyWORMS,,
"""Gecarcinucidae""","""Parathelphusa""",NA,"""Parathelphusa ferruginea""","""ferruginea""",NA,"""SPECIES""","""ACCEPTED""","""SPECIES""",440705,exact,Checked by Taxonomic Editor,accepted,Parathelphusa ferruginea,"O.K.S. Chia & P.K.L. Ng, 2006",440705,Parathelphusa ferruginea,"O.K.S. Chia & P.K.L. Ng, 2006",Animalia,Arthropoda,Malacostraca,Decapoda,Gecarcinucidae,Parathelphusa,,ferruginea,,0,0,1,0,,not marine,,fuzzyWORMS,,
"""Gecarcinucidae""","""Terrathelphusa""",NA,"""Terrathelphusa secula""","""secula""",NA,"""SPECIES""","""ACCEPTED""","""SPECIES""",1060905,exact,Checked by Taxonomic Editor,accepted,Terrathelphusa secula,"P.K.L. Ng & L.W.H. Tan, 2015",1060905,Terrathelphusa secula,"P.K.L. Ng & L.W.H. Tan, 2015",Animalia,Arthropoda,Malacostraca,Decapoda,Gecarcinucidae,Terrathelphusa,,secula,,0,0,0,1,,not marine,,fuzzyWORMS,,
"""Gecarcinucidae""","""Oziotelphusa""",NA,"""Oziotelphusa bouvieri""","""bouvieri""",NA,"""SPECIES""","""ACCEPTED""","""SPECIES""",440682,exact,Checked by Taxonomic Editor,accepted,Oziotelphusa bouvieri,"(Rathbun, 1904)",440682,Oziotelphusa bouvieri,"(Rathbun, 1904)",Animalia,Arthropoda,Malacostraca,Decapoda,Gecarcinucidae,Oziotelphusa,,bouvieri,,0,0,1,0,,not marine,,fuzzyWORMS,,
"""Gecarcinucidae""","""Spiralothelphusa""",NA,"""Spiralothelphusa hydrodroma""","""hydrodroma""",NA,"""SPECIES""","""ACCEPTED""","""SPECIES""",440828,exact,Checked by Taxonomic Editor,accepted,Spiralothelphusa hydrodroma,"(Herbst, 1794 [in Herbst, 1791-1796])",440828,Spiralothelphusa hydrodroma,"(Herbst, 1794 [in Herbst, 1791-1796])",Animalia,Arthropoda,Malacostraca,Decapoda,Gecarcinucidae,Spiralothelphusa,,hydrodroma,,0,0,1,0,,not marine,,fuzzyWORMS,,
"""Gecarcinucidae""","""Syntripsa""",NA,"""Syntripsa matannensis""","""matannensis""",NA,"""SPECIES""","""ACCEPTED""","""SPECIES""",440861,exact,Checked by Taxonomic Editor,accepted,Syntripsa matannensis,"(Schenkel, 1902)",440861,Syntripsa matannensis,"(Schenkel, 1902)",Animalia,Arthropoda,Malacostraca,Decapoda,Gecarcinucidae,Syntripsa,,matannensis,,0,0,1,0,,not marine,,fuzzyWORMS,,
