"AphiaID","accid","class","order","family","genus","subgenus","species","subspecies","canonical","taxonomicStatus","taxonRank","type","authorship","source","valid_AphiaID","id"
"367440",0,"Malacostraca","Decapoda","Calcinidae","Calcinus",NA,"hazletti",NA,"Calcinus hazletti","accepted","Species","accepted","Haig & McLaughlin, 1984","WoRMS",NA,135
"412011",146,"Malacostraca","Decapoda","Calcinidae","Calcinus",NA,"herbstei",NA,"Calcinus herbstei","unaccepted","Species","synonym","de Man, 1888 [in de Man, 1887-1888]","WORMS","208669",136
"412566",146,"Malacostraca","Decapoda","Calcinidae","Calcinus",NA,"herbsti","var. lividus","Calcinus herbsti var. lividus","unaccepted","Variety","synonym","(H. Milne Edwards, 1848)","WORMS","208669",137
"412564",146,"Malacostraca","Decapoda","Calcinidae","Calcinus",NA,"herbsti",NA,"Calcinus herbsti","unaccepted","Species","synonym","de Man, 1888 [in de Man, 1887-1888]","WORMS","208669",138
"412567",146,"Malacostraca","Decapoda","Calcinidae","Calcinus",NA,"herbstii","var. lividus","Calcinus herbstii var. lividus","unaccepted","Variety","synonym","(H. Milne Edwards, 1848)","WORMS","208669",139
"208670",146,"Malacostraca","Decapoda","Calcinidae","Calcinus",NA,"herbstii",NA,"Calcinus herbstii","unaccepted","Species","synonym","de Man, 1888 [in de Man, 1887-1888]","WORMS","208669",140
"367441",0,"Malacostraca","Decapoda","Calcinidae","Calcinus",NA,"imperialis",NA,"Calcinus imperialis","accepted","Species","accepted","Whitelegge, 1901","WoRMS",NA,141
"367442",0,"Malacostraca","Decapoda","Calcinidae","Calcinus",NA,"inconspicuus",NA,"Calcinus inconspicuus","accepted","Species","accepted","Morgan, 1991","WoRMS",NA,142
"412012",147,"Malacostraca","Decapoda","Calcinidae","Calcinus",NA,"intermedius",NA,"Calcinus intermedius","unaccepted","Species","synonym","de Man, 1881","WORMS","208677",143
"367443",0,"Malacostraca","Decapoda","Calcinidae","Calcinus",NA,"isabellae",NA,"Calcinus isabellae","accepted","Species","accepted","Poupin, 1997","WoRMS",NA,144
"367444",0,"Malacostraca","Decapoda","Calcinidae","Calcinus",NA,"kurozumii",NA,"Calcinus kurozumii","accepted","Species","accepted","Asakura & Tachikawa, 2000","WoRMS",NA,145
"208669",0,"Malacostraca","Decapoda","Calcinidae","Calcinus",NA,"laevimanus",NA,"Calcinus laevimanus","accepted","Species","accepted","(Randall, 1840)","WoRMS",NA,146
"208677",0,"Malacostraca","Decapoda","Calcinidae","Calcinus",NA,"latens",NA,"Calcinus latens","accepted","Species","accepted","(Randall, 1840)","WoRMS",NA,147
"367445",0,"Malacostraca","Decapoda","Calcinidae","Calcinus",NA,"laurentae",NA,"Calcinus laurentae","accepted","Species","accepted","Haig & McLaughlin, 1984","WoRMS",NA,148
"367446",0,"Malacostraca","Decapoda","Calcinidae","Calcinus",NA,"lineapropodus",NA,"Calcinus lineapropodus","accepted","Species","accepted","Morgan & Forest, 1991","WoRMS",NA,149
"1474864",146,"Malacostraca","Decapoda","Calcinidae","Calcinus",NA,"lividus",NA,"Calcinus lividus","unaccepted","Species","synonym","(H. Milne Edwards, 1848)","WORMS","208669",150
"367447",0,"Malacostraca","Decapoda","Calcinidae","Calcinus",NA,"mclaughlinae",NA,"Calcinus mclaughlinae","accepted","Species","accepted","Poupin & JM Bouchard, 2006","WoRMS",NA,151
