"AphiaID","accid","class","order","family","genus","subgenus","species","subspecies","ScientificName","taxonomicStatus","taxonRank","type","authorship","source"
"367483",0,"Malacostraca","Decapoda","Calcinidae","Ciliopagurus",NA,"major",NA,"Ciliopagurus major","accepted","Species","accepted","Forest, 1995","WoRMS"
"367485",0,"Malacostraca","Decapoda","Calcinidae","Ciliopagurus",NA,"pacificus",NA,"Ciliopagurus pacificus","accepted","Species","accepted","Forest, 1995","WoRMS"
"367486",0,"Malacostraca","Decapoda","Calcinidae","Ciliopagurus",NA,"plessisi",NA,"Ciliopagurus plessisi","accepted","Species","accepted","Forest, 1995","WoRMS"
"246258",0,"Malacostraca","Decapoda","Calcinidae","Ciliopagurus",NA,"shebae",NA,"Ciliopagurus shebae","accepted","Species","accepted","(Lewinsohn, 1969)","WoRMS"
"246257",0,"Malacostraca","Decapoda","Calcinidae","Ciliopagurus",NA,"strigatus",NA,"Ciliopagurus strigatus","accepted","Species","accepted","(Herbst, 1804 [in Herbst, 1799-1804])","WoRMS"
"367487",0,"Malacostraca","Decapoda","Calcinidae","Ciliopagurus",NA,"tenebrarum",NA,"Ciliopagurus tenebrarum","accepted","Species","accepted","(Alcock, 1905)","WoRMS"
"367488",0,"Malacostraca","Decapoda","Calcinidae","Ciliopagurus",NA,"tricolor",NA,"Ciliopagurus tricolor","accepted","Species","accepted","Forest, 1995","WoRMS"
"412729",0,"Malacostraca","Decapoda","Calcinidae","Ciliopagurus",NA,"vakovako",NA,"Ciliopagurus vakovako","accepted","Species","accepted","Poupin, 2001","WoRMS"
"107197",0,"Malacostraca","Decapoda","Calcinidae","Dardanus",NA,"arrosor",NA,"Dardanus arrosor","accepted","Species","accepted","(Herbst, 1796 [in Herbst, 1791-1796])","WoRMS"
"367577",0,"Malacostraca","Decapoda","Calcinidae","Dardanus",NA,"aspersus",NA,"Dardanus aspersus","accepted","Species","accepted","(Berthold, 1846)","WoRMS"
"367578",0,"Malacostraca","Decapoda","Calcinidae","Dardanus",NA,"australis",NA,"Dardanus australis","accepted","Species","accepted","Forest & Morgan, 1991","WoRMS"
"1056837",0,"Malacostraca","Decapoda","Calcinidae","Dardanus",NA,"balhibuon",NA,"Dardanus balhibuon","accepted","Species","accepted","Malay, Rahayu & TY Chan, 2018","WoRMS"
"208696",0,"Malacostraca","Decapoda","Calcinidae","Dardanus",NA,"brachyops",NA,"Dardanus brachyops","accepted","Species","accepted","Forest, 1962","WoRMS"
"107198",0,"Malacostraca","Decapoda","Calcinidae","Dardanus",NA,"calidus",NA,"Dardanus calidus","accepted","Species","accepted","(Risso, 1827 in [Risso, 1826-1827])","WoRMS"
"367579",0,"Malacostraca","Decapoda","Calcinidae","Dardanus",NA,"callichela",NA,"Dardanus callichela","accepted","Species","accepted","Cook, 1989","WoRMS"
"367580",0,"Malacostraca","Decapoda","Calcinidae","Dardanus",NA,"corrugatus",NA,"Dardanus corrugatus","accepted","Species","accepted","Cook, 1989","WoRMS"
"208703",0,"Malacostraca","Decapoda","Calcinidae","Dardanus",NA,"crassimanus",NA,"Dardanus crassimanus","accepted","Species","accepted","(H. Milne Edwards, 1836)","WoRMS"
"246280",0,"Malacostraca","Decapoda","Calcinidae","Dardanus",NA,"dearmatus",NA,"Dardanus dearmatus","accepted","Species","accepted","(Henderson, 1888)","WoRMS"
"208730",0,"Malacostraca","Decapoda","Calcinidae","Dardanus",NA,"deformis",NA,"Dardanus deformis","accepted","Species","accepted","(H. Milne Edwards, 1836)","WoRMS"
"367581",0,"Malacostraca","Decapoda","Calcinidae","Dardanus",NA,"fucosus",NA,"Dardanus fucosus","accepted","Species","accepted","Biffar & Provenzano, 1972","WoRMS"
